---> input
0.9,-0.004510835707214673,0.006631288351030134,2.848180331087897,7,2,2,3
0.15,-0.002976750458346256,-0.0029294344702389488,1.6896131859837689,5,2,1,2
0.65,-0.0041926873889289555,0.006481363968964531,1.9926438092275058,7,2,2,3
0.8,-0.0037920952928380157,-0.00016117208216028195,2.257761685076362,9,2,3,4
0.3,-0.004939868338204373,0.004926377298428253,1.9053590140753558,6,1,3,2
0.45,-0.005766578527036205,0.006908525315604415,2.3683394220985026,7,2,3,2
0.8,-0.0048205865261892085,0.007199214782190895,2.5517995996861753,9,1,3,5
0.95,-0.006773885808366188,0.0075865614538734305,4.437500584238254,10,3,3,4
0.7,-0.007442509170183235,0.005707292521702613,3.1815277891251097,11,3,1,7
0.35,-0.0032375685025966576,0.004898872932624206,3.3641994915572457,8,3,1,4
0.15,-0.003101183664840275,-0.002413964492384113,2.209869086754597,7,2,1,4
0.55,-0.006483656512179434,0.007996956041639296,2.050129237906296,7,1,2,4
0.95,-0.005933865551356142,0.006815714774520789,2.075982712384057,8,0,3,5
0.8,-0.0036114749245452797,0.006136588823399566,3.581256992965736,10,2,2,6
0.6,-0.003107207188596959,-0.0008555321971100658,1.879680153361766,8,1,2,5
0.1,-0.002222055419770229,-0.001525555842712563,2.0702074336817424,8,1,1,6
0.45,-0.00639450582716326,0.007913047008157915,2.719249550368576,9,1,1,7
0.6,-0.0035353398199081355,0.00665876729754151,2.240271073197582,9,2,0,7
0.7,-0.0025403292616902745,-0.0012981505868863172,1.760266849543542,9,3,1,5
0.0,-0.003100398003430963,-0.002301126537822389,1.7830483955144067,9,4,0,5
0.1,-0.002999053764672961,-0.0015748846043138905,2.0855847463952895,11,4,1,6
0.85,-0.003013885651327169,-0.0023400440265892958,4.910062065409305,13,4,1,8
0.1,-0.003014002790224195,-0.0018497979941877682,2.854315063802554,17,6,1,10
0.3,-0.002999761301441871,-0.002481564183340047,2.0282551441702967,13,5,0,8
0.0,-0.0029436360022220397,-0.0015804130629224953,2.462702130368413,12,6,0,6
0.35,-0.0035549252245338967,-0.002851214798709451,5.8300647958736915,11,5,0,6
0.15,-0.00268354229309639,-0.0020830410575202627,2.9721054765492214,14,4,2,8
0.4,-0.003046804484587557,-0.0015731074540643428,2.61456851989332,11,4,1,6
0.0,-0.0033382341092635026,-0.00245845998715695,5.471923893738787,11,3,1,7
0.2,-0.0028976371330743187,-0.0016973821815960183,5.040162437738885,11,2,2,7
0.65,-0.0027510651954425246,-0.002111805068770656,2.581660386647518,12,2,3,7
0.45,-0.002251044163437929,-0.0028207717057752843,3.597871629212257,13,1,3,9
0.9,-0.0030640023807517345,-0.0019159421889055946,6.454388219301896,10,0,4,6
0.75,-0.0032707703667270815,-0.0016441315903801942,2.30736183903656,12,0,4,8
0.55,-0.0029749102833640053,-0.0005422929093896186,2.0077442622071744,10,0,4,6
0.85,-0.006601526023933619,-0.00021336993767063657,2.7327550712904913,9,0,5,4
0.8,-0.0061569230870118985,0.008194600282770652,3.589144319360421,11,1,3,7
0.6,-0.003775764357883014,0.0001777077642141012,2.278518062000576,8,1,2,5
0.45,-0.0030132765169798236,0.006972511729884177,3.600086372549371,7,0,3,4
0.8,-0.006405257508854851,0.006733112962036526,2.12865954984051,7,1,2,4
0.2,-0.005952746050471448,0.006314583974073854,2.5684948046883154,5,0,3,2
0.8,-0.005973655764667412,0.005847795073671187,2.1296428594332713,6,1,3,2
0.4,-0.004107792627520844,0.006920521941701095,2.1921446795554367,7,2,2,3
0.85,-0.005987282272710067,0.007014563689877319,2.5012763503674935,9,3,3,3
0.75,-0.004471525082506333,-6.425755657603257e-05,1.7265646544035118,7,2,1,4
0.15,-0.008025154863532748,0.006876378499894235,1.710157584717266,6,2,1,3
0.25,0.004733308814058698,0.008509591301290031,1.9126690712816004,4,2,1,1
0.65,-0.0037655137523359347,0.007152787573087057,1.6583558693039953,6,1,1,4
0.0,-0.006213706350693266,0.008410442919409325,2.100430948617275,10,1,3,6
0.1,-0.0034458568740847787,-0.0025372735404713843,2.386385908963209,9,1,1,7
0.35,-0.004586333016545911,0.005099124209824937,6.206748529838182,11,3,2,6
0.5,-0.0045908354520795246,0.005896253373347903,5.016520141002457,12,3,0,9
0.35,-0.005226927412333362,0.0059975668595709155,6.24658035803981,9,2,1,6
0.75,-0.007247777318521959,0.007230413760812442,3.191278497662671,9,1,2,6
